#{"t_start": 1668493093.365872, "env_id": "TruckTrailer-v1"}
r,l,t
-951.678647,60000,1272.384977
-956.795997,4990,1368.392753
-956.95249,16837,1707.705516
-948.894412,60000,2936.811255
-951.711089,60000,4167.288908
-957.408911,33916,4862.480862
-956.727347,20374,5275.998175
-956.803531,6276,5402.900879
-957.204717,3984,5485.790423
-952.092805,60000,6670.607908
-956.1969,10561,6870.68377
-957.601378,26865,7394.406098
-928.663214,723,7405.097141
-956.740624,28755,7979.908136
-955.694253,46347,8938.993244
-949.768173,60000,10215.887743
-928.66424,793,10240.193334
-949.240395,828,10253.007898
-928.666824,798,10276.680712
-928.64147,781,10290.089185
-928.653565,787,10302.195501
-928.644052,792,10325.393818
-928.639432,770,10338.400262
-928.662475,799,10360.995684
-928.666904,788,10373.983157
-949.234478,832,10388.492944
-928.657216,784,10412.810215
-928.664747,784,10425.607355
-928.653167,788,10438.488453
-928.661923,817,10464.188195
-928.659432,768,10477.311752
-928.646082,789,10501.995036
-928.660205,820,10514.796793
-948.972037,833,10528.693688
-928.654677,767,10552.400289
-948.937949,821,10565.495046
-928.664587,804,10590.480744
-948.877268,812,10603.994577
-948.894112,824,10618.098022
-928.662468,782,10641.394473
-928.664985,768,10654.392366
-928.649498,775,10677.289489
-928.645358,776,10689.398973
-948.821235,826,10702.797825
-928.636466,774,10725.989555
-928.665499,810,10738.899657
-928.641216,791,10762.879464
-948.683148,854,10776.702982
-948.675858,837,10790.105549
-928.646105,787,10813.100301
-928.665122,803,10826.701921
-928.651994,810,10851.004444
-928.635879,786,10864.005118
-928.635984,775,10877.288742
-928.627367,783,10900.304257
-928.628695,795,10913.897932
-928.663006,805,10927.98062
-928.664307,790,10950.28407
-928.664221,809,10963.893784
-928.628424,786,10987.311684
-928.628887,811,11000.879637
-928.66426,801,11013.992609
-948.721044,862,11039.197711
-948.796717,858,11053.600034
-928.639961,810,11076.284064
-928.644844,808,11090.382647
-928.64849,812,11103.805566
-928.645434,823,11129.306563
-928.662238,798,11142.494483
-928.628561,796,11166.9901
-928.628816,821,11181.198352
-928.652512,828,11194.899005
-928.662109,861,11220.385377
-928.635658,820,11233.091958
-928.660489,842,11258.910848
-928.662475,842,11274.393889
-928.665158,872,11288.303423
-948.953653,896,11313.493473
-949.395568,913,11328.904438
-928.666047,915,11354.501491
-949.231065,909,11368.383492
-949.063028,1556,11403.290495
-928.66566,866,11416.885225
-928.660289,840,11442.196508
-928.659536,840,11455.079128
-928.664467,873,11481.292391
-928.626031,849,11495.288922
-928.657652,873,11521.100738
-928.635088,841,11534.797482
-928.630251,846,11549.398364
-928.646258,849,11573.903256
-928.626826,843,11587.10935
-928.644364,861,11612.901663
-928.645266,857,11626.998366
-928.64386,849,11641.500018
-928.639513,885,11665.593415
-928.662626,844,11679.996171
-928.644743,897,11704.99906
-928.663475,871,11720.198258
-928.619321,856,11746.585207
-928.661254,870,11760.188215
-928.65904,869,11774.99925
-928.622423,852,11801.302239
-928.629205,881,11816.585763
-957.687655,4871,11925.387066
-928.657022,870,11940.502799
-928.666587,865,11954.000379
-928.663424,873,11979.402077
-928.643767,879,11994.483316
-928.659883,875,12019.306478
-928.659291,866,12033.196527
-928.660928,873,12057.709095
-928.62912,857,12071.883857
-928.649842,868,12085.798006
-928.639038,870,12111.080373
-928.639204,890,12124.798177
-928.653407,886,12150.401154
-928.625958,863,12164.680647
-928.645713,871,12189.488098
-957.713755,11757,12437.389973
-957.553586,6494,12574.585497
-928.664331,866,12598.900637
-957.904807,60000,13845.902518
-957.506859,13699,14140.80771
-951.447844,60000,15404.199949
-957.599603,4315,15497.008029
-957.619055,6260,15628.793785
-948.729635,60000,16903.480461
-956.963864,14666,17208.178891
-928.659884,915,17223.499178
-928.634681,943,17248.894656
-928.656282,938,17264.690576
-928.656141,914,17289.289333
-928.633727,925,17305.382764
-958.16915,30096,17945.807811
-951.015027,60000,19202.90353
-928.628263,977,19229.604478
-928.641127,962,19246.080518
-928.662055,962,19261.594736
-928.634691,959,19289.401058
-957.581738,5065,19392.295948
-928.619889,939,19417.89531
-928.656783,947,19432.379619
-928.655524,946,19458.990853
-928.645167,952,19473.579072
-928.662575,938,19499.179947
-928.655942,977,19514.702062
-928.650001,957,19541.892502
-928.654671,966,19558.379331
-928.655584,984,19585.080666
-928.651115,965,19600.806082
-928.653714,956,19627.499845
-928.65918,959,19643.287943
-928.661306,961,19669.685948
-928.662376,973,19686.182709
-928.657726,985,19702.498959
-928.650387,1001,19730.204241
-957.377071,12853,19999.702848
-957.66535,11036,20234.881156
-957.526214,49954,21279.499499
-954.657922,60000,22519.905379
-945.167375,60000,23799.78647
-957.712139,5841,23922.508051
-958.404243,1806,23962.281468
-958.385873,17895,24349.20401
-959.051274,19593,24779.598699
-928.657222,1175,24799.009072
-928.666359,1463,24832.200377
-928.659354,1173,24851.78176
-928.662748,1211,24882.278916
-928.647474,1172,24911.191905
-928.650123,1152,24929.898355
-928.664971,1192,24958.501947
-928.667088,1241,24978.607486
-928.666456,1259,25007.811532
-928.654859,1210,25037.991735
-928.658261,1230,25059.08768
-928.658103,1179,25090.091855
-928.656222,1234,25113.203199
-928.643968,1126,25144.300882
-928.659969,1178,25171.198349
-928.667499,1218,25190.19925
-928.656281,1158,25218.607582
-928.659545,1190,25239.001328
-928.661034,1220,25268.287941
-928.663924,1238,25289.092549
-957.983458,3435,25371.585832
-928.666028,1188,25400.006815
-956.521512,22951,25870.900999
-958.22209,38560,26665.485909
-957.960556,36912,27441.585706
-928.666971,2453,27490.879425
-950.547939,42634,28384.505428
-951.830952,42268,29263.990242
-950.688453,46156,30236.307502
-955.369052,60000,31479.291132
-966.863434,60000,32732.207025
-969.122097,60000,33972.089447
-971.564091,60000,35236.883891
-975.35622,60000,36488.208641
-978.414445,60000,37741.101976
-979.72059,60000,39018.903335
-983.868859,60000,40285.083807
-986.862895,60000,41572.402261
-994.980012,60000,42857.104659
-1001.371446,60000,44120.107258
-1005.271193,60000,45400.408337
-1005.830757,60000,46629.590729
-1006.030339,60000,47872.280953
-1006.067851,60000,49069.605251
-1006.077755,60000,50349.295002
-1006.033758,60000,51619.604895
-1005.885927,60000,52892.499768
-1006.091257,60000,54144.888847
-1006.120755,60000,55388.897166
-1006.082607,60000,56648.207402
-1006.08228,60000,57913.386793
-1006.112111,60000,59101.098284
-1006.046446,60000,60303.594488
-1006.078748,60000,61515.798226
-1006.066575,60000,62745.9889
-1006.078728,60000,63953.388819
-1006.078538,60000,65156.803162
-1006.09612,60000,66367.211695
-1006.064059,60000,67581.907001
-1005.957405,60000,68815.908233
-1005.865119,60000,70043.096695
-1005.903659,60000,71277.192656
-1006.036659,60000,72506.204434
-1005.981139,60000,73730.396217
-1005.671289,60000,74977.797443
-1005.840649,60000,76207.206447
-1005.877143,60000,77442.711024
-1005.739889,60000,78693.011724
-1006.092983,60000,79906.899704
-1005.652328,60000,81140.780833
-1005.89571,60000,82372.591968
-1005.860597,60000,83599.21111
-1005.841811,60000,84820.797711
-1005.861152,60000,86051.679294
-1006.068762,60000,87291.202064
-1005.882893,60000,88509.990367
-1005.890486,60000,89740.390166
-1005.917904,60000,90986.679126
-1005.905174,60000,92216.3981
-1005.834998,60000,93455.105713
-1005.718349,60000,94750.204759
-1005.878693,60000,96031.108557
-1005.881856,60000,97294.208779
-1005.993904,60000,98564.586608
-1006.064792,60000,99849.002204
-1006.006591,60000,101104.798326
-1006.069984,60000,102359.708862
-1005.932789,60000,103623.099179
-1005.883681,60000,104888.109112
-1005.932093,60000,106148.709153
-1005.769959,60000,107428.999899
-1005.903695,60000,108724.695875
-1005.861486,60000,109987.592958
-1005.9184,60000,111220.398905
-1006.108981,60000,112437.286897
-1005.854363,60000,113669.192003
-1005.957902,60000,114902.384058
-1006.068078,60000,116112.693
-1005.970594,60000,117343.098963
-1005.433026,60000,118562.279937
-1005.686108,60000,119782.602225
-1005.857652,60000,121032.086931
-1005.928299,60000,122251.096243
-1006.022271,60000,123454.601053
-1005.957055,60000,124682.80865
-1005.989955,60000,125923.900477
-1005.797884,60000,127200.098953
-1005.909148,60000,128449.904565
-1005.866374,60000,129701.59456
-1005.606287,60000,130921.408084
-1005.760926,60000,132147.609064
-1005.845696,60000,133390.306604
-1005.882518,60000,134617.598882
-1005.918713,60000,135859.393465
-1005.931477,60000,137097.299506
-1005.941246,60000,138330.479936
-1005.704457,60000,139563.604455
-1005.602565,60000,140795.902204
-1005.737571,60000,142034.794751
-1005.803393,60000,143265.00384
-1005.995318,60000,144503.894035
-1005.929607,60000,145733.988267
-1005.938632,60000,146954.711482
-1005.937362,60000,148186.310262
-1005.942272,60000,149410.202323
-1005.967692,60000,150655.105855
-1005.975034,60000,151882.603876
-1005.948052,60000,153118.979415
-1005.950134,60000,154336.293109
-1005.926119,60000,155549.799138
-1005.947074,60000,156759.200505
-1005.943444,60000,157986.59813
-1005.937111,60000,159207.703006
-1005.946912,60000,160424.406806
-1005.979735,60000,161664.299689
-1005.893555,60000,162915.093499
-1005.79215,60000,164135.601148
-1005.951024,60000,165345.411012
-1005.863781,60000,166578.496403
-1005.846242,60000,167820.111381
-1005.775579,60000,169029.795812
-1005.828541,60000,170269.401801
-1005.949241,60000,171475.003132
-1005.922359,60000,172694.705092
-1005.966705,60000,173932.486184
-1005.933809,60000,175146.199805
-1005.969972,60000,176357.881994
-1005.976561,60000,177572.796913
-1005.931842,60000,178781.004367
-1005.948515,60000,179991.289435
-1005.939239,60000,181218.90445
-1005.943444,60000,182425.207344
-1005.983095,60000,183643.501663
-1005.950572,60000,184857.597715
-1005.985259,60000,186063.004571
-1005.943444,60000,187270.989559
-1005.943444,60000,188489.001239
-1005.973514,60000,189717.380393
-1005.915894,60000,190942.407899
-1005.963368,60000,192167.894881
-1005.770157,60000,193394.796182
-1005.828814,60000,194614.811564
-1005.881375,60000,195869.679749
-1005.910122,60000,197107.997442
-1005.908959,60000,198342.895311
-1005.943106,60000,199577.998143
-1005.976798,60000,200807.405553
-1005.969362,60000,202025.698171
-1005.856406,60000,203241.981586
-1005.809093,60000,204465.209778
-1005.63984,60000,205683.508609
-1005.897996,60000,206916.508673
-1005.978992,60000,208140.605637
-1005.947273,60000,209344.998884
-1005.949435,60000,210558.393276
-1005.840058,60000,211783.800209
-1005.772673,60000,213014.99342
-1005.883339,60000,214246.286335
-1005.833389,60000,215456.507355
-1005.940417,60000,216687.501281
-1005.90504,60000,217910.195003
-1005.917864,60000,219124.395165
-1005.905983,60000,220373.703684
-1005.958513,60000,221581.593617
-1005.943444,60000,222788.101118
-1005.686137,60000,224023.807327
-1005.605824,60000,225240.502939
-1005.887252,60000,226486.609804
-1005.979038,60000,227705.486503
-1005.953048,60000,228925.005781
-1005.968994,60000,230135.30425
-1005.945102,60000,231331.999038
-1005.950293,60000,232549.801271
-1005.893963,60000,233785.579058
-1005.572911,60000,234991.798305
-1005.952258,60000,236225.694366
-1005.893382,60000,237445.981401
-1005.892841,60000,238654.811282
-1005.873587,60000,239872.500526
-1005.652887,60000,241092.100832
-1005.824076,60000,242310.990543
-1005.668654,60000,243531.900325
-1005.28258,60000,244763.100583
-1005.832865,60000,245994.306332
-1005.899675,60000,247219.995518
-1005.922178,60000,248456.092619
-1005.983347,60000,249660.802527
-1005.917857,60000,250877.985709
-1005.9493,60000,252086.19142
-1005.933523,60000,253299.178854
-1005.943787,60000,254503.402728
-1005.959175,60000,255726.207603
