#{"t_start": 1668761544.674361, "env_id": "TruckTrailer-v1"}
r,l,t
-955.950841,4616,118.59586
-955.943108,26773,662.200454
-958.113568,689,672.985142
-956.499054,2065,714.100815
-955.295289,60000,1935.189724
-956.124767,6214,2071.091102
-955.854985,8728,2246.090541
-956.189078,24861,2749.386151
-950.546608,60000,3973.702361
-956.02793,60000,5200.581195
-928.642458,689,5221.984579
-956.507356,21752,5653.872378
-955.499031,60000,6868.493331
-955.754576,14953,7167.272548
-955.081314,60000,8372.002376
-955.735367,10653,8598.088125
-949.449693,60000,9819.278352
-928.644857,700,9830.702132
-928.588686,694,9850.902923
-928.62611,695,9861.491668
-928.652815,697,9873.196344
-928.602454,697,9894.897151
-928.666845,700,9905.692053
-928.651826,699,9917.371008
-928.612866,696,9937.577721
-928.660288,690,9948.780494
-928.625347,692,9961.086003
-928.631912,697,9983.476262
-928.605461,698,9994.385975
-928.639525,706,10006.081572
-928.631977,695,10027.478854
-928.592094,691,10039.093467
-928.618399,699,10050.591731
-928.624672,698,10072.073485
-928.625736,693,10083.392343
-928.628416,691,10093.803225
-928.605465,694,10114.085241
-928.64077,705,10125.080864
-928.651268,694,10136.498868
-928.62849,697,10157.683285
-928.658423,711,10168.473696
-928.655912,696,10179.673177
-928.621584,700,10201.078617
-928.65787,696,10212.293142
-928.62385,691,10223.883638
-928.622255,700,10245.183326
-928.640803,688,10256.300152
-928.666448,704,10267.889868
-928.637277,691,10288.57618
-928.600923,688,10299.895403
-928.651117,687,10311.092826
-928.650191,693,10332.499176
-928.650376,692,10344.096609
-928.634395,695,10356.191306
-928.640865,687,10377.692512
-928.619465,690,10389.972112
-928.649162,687,10401.672991
-928.593536,690,10422.781961
-928.641056,692,10434.695084
-928.636878,694,10446.39517
-928.618412,699,10468.984526
-928.665925,686,10481.690619
-950.416399,60000,11710.387746
-928.652227,691,11733.090118
-928.649738,703,11743.592905
-928.634553,689,11754.400837
-928.621476,697,11776.779283
-928.622505,699,11787.48489
-956.565805,19672,12192.291181
-956.401639,6465,12321.690909
-949.975277,60000,13536.40105
-928.598849,693,13557.992583
-928.619131,687,13568.88976
-928.637839,688,13580.274681
-928.620267,698,13602.402605
-950.333224,60000,14826.192153
-928.653799,697,14837.089544
-928.629239,702,14858.879469
-928.613524,696,14870.398676
-928.661113,699,14881.971188
-928.615603,701,14902.698166
-928.60587,697,14914.392226
-928.623816,700,14925.080955
-958.397188,694,14946.194547
-928.635546,694,14959.193952
-956.671641,12037,15204.193247
-928.610482,711,15215.698263
-928.654506,701,15226.599104
-951.127399,60000,16458.396452
-928.666858,704,16470.490823
-928.637983,719,16481.696902
-928.613732,711,16502.801191
-928.611903,705,16515.396897
-928.632838,709,16526.775482
-928.656156,716,16550.29448
-928.621467,711,16562.181762
-928.622132,700,16582.979916
-928.63239,715,16595.377695
-928.635334,706,16608.292006
-928.653318,721,16629.988728
-957.469019,2012,16669.490403
-928.642763,711,16680.780976
-928.603416,705,16692.294482
-928.636243,714,16713.380334
-928.637404,712,16724.684184
-957.051538,2318,16771.175578
-928.638388,727,16782.389963
-958.444299,712,16802.98554
-928.625482,708,16815.594388
-928.611352,706,16826.284681
-928.611168,708,16846.986466
-928.645612,733,16859.493823
-928.644649,712,16880.476498
-928.645998,716,16892.201838
-928.652754,725,16904.501261
-928.630838,707,16925.475136
-928.649261,723,16937.19451
-928.649963,713,16949.585733
-928.617752,711,16971.202489
-928.640335,707,16983.998929
-928.624579,711,16995.275681
-928.632968,725,17017.201102
-928.626517,708,17029.277303
-928.647188,710,17040.597087
-928.664819,710,17061.670354
-928.664144,719,17073.885102
-928.623654,720,17085.47052
-956.796435,45679,18024.675373
-928.653739,711,18035.984638
-928.63889,734,18048.075382
-928.644557,719,18069.994635
-928.651937,712,18081.172581
-928.652994,729,18091.983421
-928.655226,716,18114.400784
-928.666538,724,18125.389322
-928.630723,716,18147.090628
-928.655205,716,18157.874808
-928.656191,724,18169.184397
-928.654893,715,18190.696171
-928.619923,713,18201.785117
-928.611698,707,18212.289285
-928.615766,716,18233.288717
-948.960426,773,18245.97459
-928.631709,725,18257.971846
-928.63211,717,18280.075899
-928.624952,723,18291.27505
-928.661566,720,18302.689668
-928.632356,725,18325.785334
-928.646503,715,18337.371366
-928.644752,732,18348.998789
-928.602867,720,18371.703279
-928.661766,725,18383.576164
-928.620305,718,18405.374162
-928.638348,723,18417.388881
-928.659163,728,18429.187346
-928.639651,717,18451.981811
-928.653159,732,18463.977708
-928.647963,740,18475.198413
-928.647671,741,18498.778459
-928.65684,743,18510.091895
-928.607471,722,18520.787038
-928.664192,721,18543.088398
-928.628951,729,18553.988299
-928.62566,715,18564.973502
-928.657608,716,18585.777311
-928.62829,723,18596.878099
-928.644842,720,18607.995266
-928.604938,718,18629.880535
-928.613807,721,18641.186496
-928.640581,735,18664.292583
-928.63994,732,18676.486032
-928.662354,727,18687.882355
-928.637578,725,18710.190221
-928.656707,739,18721.802002
-928.627188,716,18733.09504
-928.640261,739,18756.194145
-928.652629,736,18768.489573
-928.655633,756,18780.896357
-928.652701,745,18804.491073
-928.662884,735,18816.092331
-928.629518,740,18827.981999
-928.649245,773,18851.474549
-928.616703,741,18862.8744
-928.662719,731,18886.687334
-928.654638,761,18898.371051
-928.650926,758,18909.694313
-928.632179,740,18933.203431
-928.664802,750,18945.178532
-928.662802,768,18957.380416
-928.652082,764,18980.99333
-928.632514,750,18993.592179
-928.662573,749,19017.695385
-928.661054,761,19029.300116
-928.651786,738,19040.787739
-928.666937,763,19063.782671
-928.654981,776,19075.882483
-928.645934,758,19087.700962
-928.652804,781,19110.196458
-928.666366,770,19123.492956
-928.621635,753,19148.08319
-928.660316,775,19160.183897
-928.657555,758,19172.188798
-928.648936,770,19195.877796
-928.654633,776,19207.494021
-928.656743,749,19218.486163
-928.638568,767,19241.598249
-928.626968,760,19253.0922
-928.627369,778,19277.281725
-928.652657,767,19289.174435
-928.658834,769,19301.071582
-928.634199,754,19324.096515
-928.613227,759,19336.194629
-928.663129,796,19348.278686
-928.621314,760,19371.895648
-928.647569,765,19383.773392
-928.641184,762,19406.871973
-928.627198,755,19418.683188
-928.65054,760,19431.202368
-928.665365,762,19454.885627
-928.657643,752,19466.892429
-928.616254,750,19478.681872
-928.657682,779,19501.771629
-928.652118,774,19513.989432
-928.634177,769,19525.785748
-928.639304,770,19549.173497
-928.646795,765,19560.886651
-928.660402,770,19585.287165
-928.66048,830,19597.892185
-928.6539,782,19609.690842
-928.647728,793,19633.988444
-928.64556,816,19646.471016
-928.64716,791,19670.294867
-928.65677,787,19683.174342
-928.663188,780,19695.577832
-928.624204,794,19719.194503
-928.653801,788,19730.79958
-928.656688,801,19743.100723
-928.646149,806,19766.588489
-928.630984,782,19777.979757
-928.657701,800,19801.993106
-928.667331,845,19815.390048
-928.651688,810,19828.388184
-928.628345,794,19852.288001
-928.632657,802,19864.091439
-928.664799,824,19887.392668
-928.64371,805,19899.57325
-928.660709,807,19911.870801
-928.617565,793,19935.801394
-928.653484,810,19947.70078
-928.627252,814,19971.089464
-928.621101,806,19984.182196
-928.622975,810,19996.586178
-928.637632,816,20019.582052
-928.639051,809,20031.785233
-928.625306,807,20054.490057
-928.666749,811,20068.17812
-928.638184,821,20081.078515
-928.639848,823,20106.09157
-928.640783,855,20119.076358
-928.64358,823,20142.877775
-928.65709,870,20157.301259
-928.631175,829,20170.789332
-928.637673,835,20194.697771
-928.642774,835,20207.988594
-928.667672,828,20232.186743
-928.653135,874,20245.785532
-928.646632,823,20258.276443
-928.618458,827,20282.083177
-956.244679,11228,20506.488044
-928.661441,837,20530.378519
-928.641233,855,20543.681311
-928.64964,837,20566.789076
-928.633243,849,20580.886322
-928.65714,862,20593.980599
-928.639497,832,20617.588194
-928.644284,846,20632.481989
-928.619873,867,20656.477249
-928.637809,838,20670.582727
-928.645819,865,20694.984779
-928.6253,850,20709.500683
-928.65809,867,20722.271113
-928.664441,878,20746.985237
-928.646823,865,20761.177137
-928.653201,863,20784.495313
-928.667107,896,20799.379977
-928.659642,864,20812.298946
-950.860329,60000,22046.590682
-951.601085,60000,23247.201321
-957.504623,44191,24149.590162
-928.628559,926,24164.576397
-928.620245,923,24188.594224
-956.459379,33706,24869.600141
-928.639282,948,24885.99113
-928.660754,975,24913.085012
-928.631485,956,24927.370991
-928.634257,953,24952.293133
-928.632394,937,24967.176163
-955.546807,60000,26203.099212
-950.041704,60000,27421.99129
-957.583825,42492,28285.086114
-949.563471,60000,29503.494873
-956.446167,8181,29668.492226
-956.61266,20100,30083.176339
-974.736996,60000,31297.903304
-956.177008,40703,32122.986094
-973.520271,60000,33353.573094
-957.090529,5704,33469.687295
-957.17151,10710,33685.290344
-946.635331,60000,34907.499656
-946.644245,60000,36124.499064
-976.077414,34730,36834.686215
-946.68828,60000,38055.001969
-952.821917,60000,39273.285727
-971.68202,60000,40516.586433
-969.425736,50748,41548.002024
-952.885054,60000,42764.801382
-951.35163,60000,43979.778348
-951.599997,60000,45188.302336
-951.766648,60000,46415.485492
-953.748917,60000,47631.074071
-957.927329,60000,48841.000432
-959.005537,60000,50067.401393
-963.037176,60000,51285.396451
-963.149406,60000,52506.391453
-960.847359,60000,53733.599104
-960.089876,60000,54966.592015
-961.560106,60000,56180.595703
-964.759114,60000,57400.780558
-965.999318,60000,58626.490371
-964.587033,60000,59842.799971
-968.038213,60000,61054.475298
-974.102202,60000,62287.599355
-979.724192,60000,63510.303134
-981.96599,60000,64725.59305
-983.468641,60000,65949.400569
-985.009903,60000,67195.275594
-986.277719,60000,68405.59519
-987.373999,60000,69624.595161
-991.557612,60000,70866.598591
-1003.581383,60000,72093.985593
-1005.70001,60000,73313.588136
-1005.773093,60000,74554.687263
-1005.948191,60000,75774.983036
-1006.045846,60000,77001.47111
-1006.121479,60000,78221.190407
-1005.913387,60000,79446.792136
-1006.056507,60000,80652.892618
-1006.033774,60000,81879.984727
-1006.013467,60000,83115.786057
-1006.0718,60000,84331.085211
-1006.033728,60000,85555.203023
-1006.042889,60000,86766.88649
-1005.860586,60000,88007.803016
-1005.839532,60000,89244.979586
-1005.908716,60000,90467.79634
-1005.959476,60000,91686.08751
-1006.005916,60000,92887.374397
-1005.998223,60000,94100.995147
-1006.017118,60000,95317.001861
-1006.041304,60000,96517.502043
-1006.001662,60000,97739.284407
-1006.096475,60000,98956.791385
-1006.04104,60000,100176.396358
-1006.048623,60000,101385.495302
-1006.012325,60000,102582.490344
-1006.00755,60000,103781.474597
-1005.994443,60000,104994.496022
-1005.97034,60000,106216.097757
-1005.961567,60000,107434.483081
-1005.935926,60000,108659.602173
-1005.949921,60000,109866.576741
-1005.998261,60000,111080.690311
-1005.94973,60000,112302.494163
-1006.00541,60000,113502.402829
-1005.967021,60000,114712.380318
-1005.984283,60000,115936.693238
-1005.922758,60000,117165.203264
-1005.898408,60000,118383.186027
-1005.893145,60000,119632.001067
-1005.938489,60000,120838.090574
-1006.03041,60000,122051.586297
-1006.237152,60000,123277.9013
-1006.03783,60000,124515.291719
-1006.031321,60000,125733.376283
-1006.004463,60000,126943.102104
-1006.035554,60000,128163.383141
-1006.015394,60000,129382.184456
-1005.913912,60000,130602.19535
-1006.029071,60000,131815.176813
-1006.010055,60000,133038.792416
-1005.678723,60000,134259.292924
-1004.992072,60000,135476.986668
-1005.627001,60000,136711.40133
-1005.810748,60000,137947.183405
-1005.845502,60000,139175.488831
-1005.881581,60000,140403.697875
-1006.083898,60000,141612.499138
-1006.061974,60000,142819.195237
-1005.908789,60000,144052.991889
-1006.045755,60000,145276.188307
-1006.083859,60000,146476.895768
-1006.032892,60000,147704.985324
-1006.05304,60000,148935.29888
-1005.852512,60000,150159.599158
-1006.064802,60000,151360.483268
-1005.949332,60000,152593.572717
-1006.023691,60000,153819.288939
-1005.894262,60000,155055.877321
-1005.884584,60000,156283.897794
-1005.903714,60000,157535.098054
-1006.021798,60000,158745.685559
-1006.056013,60000,159965.390421
-1006.080141,60000,161196.596199
-1006.040127,60000,162403.794
-1005.997818,60000,163632.872429
-1006.076156,60000,164841.29652
-1006.051257,60000,166080.87311
-1005.926513,60000,167302.091633
-1006.019081,60000,168526.803394
-1006.078043,60000,169735.287898
-1006.014057,60000,170954.401931
-1006.020154,60000,172171.403168
-1006.04171,60000,173398.690563
-1006.010326,60000,174595.385
-1005.905289,60000,175817.271165
-1005.926428,60000,177027.501598
-1005.91243,60000,178248.974988
-1005.997363,60000,179464.291684
-1005.937019,60000,180691.690998
-1005.94736,60000,181912.285923
-1005.934671,60000,183135.301192
-1005.788392,60000,184364.693042
-1005.540401,60000,185599.799607
-1005.496161,60000,186817.489381
-1005.67635,60000,188021.889287
-1005.639939,60000,189229.897248
-1005.700724,60000,190497.094695
-1005.84373,60000,191718.896333
-1005.720933,60000,192943.496109
-1005.744226,60000,194178.983643
-1005.808172,60000,195400.601313
-1005.869374,60000,196642.980793
-1005.861429,60000,197865.773777
-1005.933893,60000,199098.798619
-1005.906216,60000,200331.486703
-1005.918311,60000,201557.398096
-1005.923661,60000,202775.887619
-1005.916473,60000,203998.097378
-1005.911546,60000,205226.590858
-1005.876601,60000,206459.193052
-1006.031312,60000,207689.19703
-1005.936425,60000,208915.889117
-1005.883157,60000,210151.671314
-1005.933363,60000,211379.799057
-1005.908422,60000,212600.403034
-1005.942228,60000,213806.401917
-1005.960998,60000,215027.387531
-1005.960998,60000,216234.203378
-1005.960998,60000,217432.084272
-1005.965465,60000,218647.394328
-1005.958483,60000,219841.688324
-1005.92478,60000,221049.503309
-1005.928559,60000,222276.996672
-1005.945137,60000,223509.786745
-1005.893525,60000,224737.099795
-1005.785704,60000,225953.189878
-1005.87264,60000,227199.188559
-1005.888894,60000,228430.689543
-1005.868108,60000,229646.083372
-1005.66347,60000,230876.07286
-1005.777996,60000,232088.176301
-1005.741306,60000,233312.100095
-1005.880119,60000,234542.378007
-1005.837093,60000,235767.791814
-1005.868849,60000,237030.073333
-1005.902312,60000,238314.287539
-1005.826404,60000,239611.183572
-1005.912261,60000,240847.002304
-1005.938175,60000,242083.690625
-1005.792169,60000,243315.57458
-1005.781127,60000,244575.39677
-1005.879212,60000,245815.793824
-1005.901653,60000,247063.802432
-1005.867077,60000,248297.100981
-1005.888787,60000,249540.774516
-1005.924291,60000,250760.600983
-1005.932656,60000,251982.194285
-1005.918996,60000,253198.285156
-1005.940515,60000,254427.195447
-1005.933445,60000,255648.794942
-1005.927844,60000,256883.297389
-1005.945324,60000,258096.271397
-1005.912201,60000,259325.892495
-1005.922336,60000,260553.590747
-1005.886947,60000,261764.589153
-1005.896912,60000,263006.902297
-1005.829078,60000,264233.392492
-1005.926458,60000,265464.078696
-1005.870482,60000,266719.498234
-1005.786675,60000,267982.602218
-1005.790483,60000,269260.801731
-1005.891033,60000,270546.580658
-1005.946542,60000,271810.091964
-1005.926611,60000,273058.170388
-1005.902198,60000,274315.390619
-1005.924067,60000,275565.798897
-1005.94337,60000,276804.076311
-1005.906197,60000,278032.485011
-1005.920875,60000,279247.192468
-1005.798499,60000,280476.900789
-1005.91505,60000,281704.490368
-1005.940478,60000,282908.792356
-1005.929545,60000,284129.783852
-1005.922462,60000,285349.493433
-1005.946861,60000,286556.083866
-1005.934983,60000,287773.999819
-1006.001273,60000,288969.479957
-1005.947232,60000,290191.496532
-1005.938831,60000,291414.092392
-1005.928242,60000,292657.79827
-1005.952562,60000,293871.300544
-1005.958618,60000,295076.888958
-1005.953828,60000,296277.798232
-1005.972416,60000,297500.583558
-1005.967743,60000,298697.287243
-1005.950665,60000,299911.590391
-1005.975448,60000,301120.999148
-1005.946818,60000,302336.795968
-1005.949286,60000,303550.4012
-1005.946823,60000,304757.49544
-1005.934494,60000,305983.486351
-1005.924002,60000,307210.280308
-1005.956885,60000,308425.002308
-1005.946557,60000,309653.591295
-1005.92967,60000,310863.687882
-1005.935705,60000,312073.597457
-1005.95592,60000,313270.682434
-1005.951671,60000,314495.882351
-1005.941052,60000,315717.98183
-1005.920115,60000,316938.698801
-1005.938307,60000,318171.694013
-1005.965788,60000,319399.402954
-1005.908874,60000,320636.070703
-1005.83345,60000,321860.971797
-1005.916237,60000,323085.885396
